Restaurant_Name,City,Rating,Price_for_Two,Services
Paradise Biryani,Hyderabad,4.5,800,"AC WiFi Parking HomeDelivery FamilyDining"
Bawarchi,Hyderabad,4.3,700,"AC Parking Takeaway"
Shah Ghouse,Hyderabad,4.4,600,"AC HomeDelivery"
Leopold Cafe,Mumbai,4.6,1200,"AC WiFi Bar LiveMusic"
Trishna,Mumbai,4.7,2000,"AC WiFi Parking FineDining"
Bademiya,Mumbai,4.2,900,"Takeaway LateNight"
Karim's,Delhi,4.5,1000,"AC FamilyDining HomeDelivery"
Indian Accent,Delhi,4.8,3000,"AC WiFi FineDining Parking"
Toit,Bangalore,4.6,1500,"WiFi Bar LiveMusic Parking"
Absolute Barbecues,Bangalore,4.4,1800,"AC Buffet FamilyDining"
Restaurant_Name,City,Rating,Price_for_Two,Services
Paradise Biryani,Hyderabad,4.5,800,"AC WiFi Parking HomeDelivery FamilyDining"
Bawarchi,Hyderabad,4.3,700,"AC Parking Takeaway"
Shah Ghouse,Hyderabad,4.4,600,"AC HomeDelivery"
Taj Krishna,Hyderabad,4.7,3500,"AC WiFi Pool Spa Parking"
The Leela Palace,Bangalore,4.8,5000,"AC WiFi Pool Spa FineDining"
Toit,Bangalore,4.6,1500,"WiFi Bar LiveMusic Parking"
Indian Accent,Delhi,4.8,3000,"AC WiFi FineDining Parking"
Karim's,Delhi,4.5,1000,"AC FamilyDining HomeDelivery"
Trishna,Mumbai,4.7,2000,"AC WiFi Parking FineDining"
Leopold Cafe,Mumbai,4.6,1200,"AC WiFi Bar LiveMusic"
Bademiya,Mumbai,4.2,900,"Takeaway LateNight"
Zuri Hotel,Goa,4.6,4200,"AC WiFi Pool BeachView Bar"
Fortune Resort,Goa,4.4,3800,"AC Pool BeachView Parking"
ITC Grand Chola,Chennai,4.9,6000,"AC WiFi Pool Spa Luxury"
Novotel,Chennai,4.3,3200,"AC WiFi Parking"
Rambagh Palace,Jaipur,4.9,7000,"AC WiFi Pool Luxury Heritage"
Holiday Inn,Kolkata,4.4,3000,"AC WiFi Parking FamilyDining"